va1,val2,val3,val4,val5,val6,val7,val8,labels
13,25,127,26,19,7,9,8,right
14,11,13,8,9,27,42,28,left
63,25,19,39,17,7,23,34,forward
16,25,53,15,8,6,15,48,backward
15,24,127,53,57,10,7,10,right
20,11,40,8,8,52,68,54,left
85,19,10,17,8,6,21,35,forward
19,19,75,13,7,6,28,66,backward
18,44,120,34,21,13,13,29,right
28,36,37,9,10,44,121,63,left
74,24,16,55,15,6,41,54,forward
27,32,70,13,9,5,9,91,backward
25,59,128,44,22,11,11,44,right
22,16,19,6,9,28,82,47,left
61,36,19,48,23,7,31,54,forward
16,34,62,15,6,6,7,56,backward
18,74,114,62,21,8,6,9,right
17,13,26,7,12,84,44,54,left
63,38,32,46,18,7,46,40,forward
13,34,71,11,5,20,9,27,backward
22,52,116,89,33,8,15,9,right
33,12,36,11,7,32,68,61,left
75,54,12,43,20,6,59,52,forward
19,25,66,25,7,10,25,39,backward
23,46,116,62,18,6,5,32,right
18,11,9,6,8,36,19,40,left
58,36,6,33,15,6,32,25,forward
18,48,52,21,7,20,14,45,backward
20,51,127,64,23,12,7,12,right
9,7,18,4,4,24,42,25,left
55,44,11,17,10,6,47,55,forward
12,37,84,19,9,12,13,30,backward
37,63,128,58,32,12,22,22,right
28,62,29,6,10,91,125,75,left
71,28,8,27,7,5,22,31,forward
18,23,112,13,7,5,11,70,backward
17,62,127,54,21,9,7,7,right
32,30,43,8,11,70,85,77,left
60,30,16,49,9,10,46,79,forward
23,44,79,23,9,8,10,55,backward
26,82,127,45,24,10,8,13,right
14,23,9,5,5,27,47,30,left
83,16,16,39,16,8,49,67,forward
10,18,51,14,5,4,7,47,backward
17,54,128,57,19,8,6,8,right
15,15,7,10,18,67,73,65,left
76,16,11,28,11,6,56,71,forward
19,18,69,15,6,5,14,69,backward
16,52,128,43,20,10,6,8,right
9,12,9,4,4,24,87,37,left
83,15,5,9,5,4,34,37,forward
13,26,96,14,7,6,15,57,backward
19,51,127,63,17,9,8,47,right
13,21,77,11,6,69,84,68,left
127,20,12,34,8,7,28,60,forward
14,29,75,14,8,4,8,56,backward
10,10,22,72,31,19,7,7,right
25,8,11,7,6,10,47,30,left
13,21,14,26,12,6,6,35,forward
14,7,17,37,9,6,7,15,backward
23,15,44,98,26,16,6,11,right
27,7,9,9,6,13,52,21,left
10,22,10,26,22,11,6,32,forward
17,8,13,32,8,5,11,12,backward
14,20,44,78,32,17,7,11,right
31,6,5,6,4,4,12,17,left
10,29,15,32,29,16,7,61,forward
21,7,16,39,7,13,5,9,backward
